music_id,title,performer,release_date,album_type,medium,genre,rating,rating_count,cover_link
1776070,天空 Sky,王菲,1994,专辑,CD,流行,9.4,30592,https://img9.doubanio.com/view/subject/s/public/s3681285.jpg
3788747,The Boat That Rocked,Original Soundtrack,2009-03-30,Import,Soundtrack,CD,9.3,20267,https://img9.doubanio.com/view/subject/s/public/s4194004.jpg
1395617,(What's The Story) Morning Glory?,Oasis,1995,专辑,CD,摇滚,9.3,28747,https://img2.doubanio.com/view/subject/s/public/s1944493.jpg
1982538,PUSSY,陈绮贞,2007-02-08,单曲,Audio CD,民谣,8.7,21552,https://img9.doubanio.com/view/subject/s/public/s2144095.jpg
1421569,呼吸 Breathe - All About Lily Chou-Chou / Lily Chou-Chou：呼吸,Salyu,2001,专辑,CD,原声,9.1,22509,https://img1.doubanio.com/view/subject/s/public/s2714357.jpg
1394997,Fallen,Evanescence,2003,专辑,Audio CD,摇滚,8.5,21239,https://img9.doubanio.com/view/subject/s/public/s1458245.jpg
1413627,黑豹,黑豹,1992-12-01,专辑,CD,摇滚,9.3,27724,https://img2.doubanio.com/view/subject/s/public/s1401153.jpg
4923069,十年一刻,苏打绿,2010-08-27,视频,CD+DVD,流行,9.0,24115,https://img1.doubanio.com/view/subject/s/public/s4462549.jpg
1403802,恋爱的力量 The Power Of Love Songs,梁静茹,2003年3月,专辑,CD,流行,9.0,22746,https://img9.doubanio.com/view/subject/s/public/s1415455.jpg
1394569,Suede,Suede,1993,专辑,CD,摇滚,9.0,24949,https://img9.doubanio.com/view/subject/s/public/s1496506.jpg
1394652,The Bends,Radiohead,1995,专辑,CD,摇滚,9.3,31792,https://img2.doubanio.com/view/subject/s/public/s2883202.jpg
1462686,琵琶相 Pipa images LIN HAI & FRIENDS 2,林海,2004,专辑,CD,轻音乐,9.4,21933,https://img2.doubanio.com/view/subject/s/public/s4716282.jpg
6903119,？ 问号,陈奕迅,2011-11-11,专辑,CD,流行,8.1,24588,https://img1.doubanio.com/view/subject/s/public/s6988468.jpg
2154228,少年故事,彭坦,2007-07-23,专辑,CD,流行,8.2,22173,https://img9.doubanio.com/view/subject/s/public/s2616115.jpg
1923738,黑暗之光,雷光夏,2006-12-01,专辑,CD,民谣,8.9,21502,https://img2.doubanio.com/view/subject/s/public/s1960062.jpg
1419831,我要我们在一起,范晓萱,1999-11-1,国语,CD,流行,8.8,24310,https://img1.doubanio.com/view/subject/s/public/s1432740.jpg
1419375,人生海海,五月天,2001-07-06,专辑,CD,摇滚,9.3,26407,https://img1.doubanio.com/view/subject/s/public/s1945209.jpg
3021469,Maybe I'm Dreaming 可能我在做梦,Owl City,2008-03-18,Import,CD,流行,8.4,20762,https://img2.doubanio.com/view/subject/s/public/s3409351.jpg
3435496,工体东路没有人,李志,2009-01-22,专辑,数字,民谣,9.2,23204,https://img2.doubanio.com/view/subject/s/public/s26537631.jpg
1401365,Let It Be,The Beatles,1990-10-25,Enhanced,Audio CD,摇滚,9.5,26440,https://img9.doubanio.com/view/subject/s/public/s1410146.jpg
1796484,"Alright,Still 一如既往",Lily Allen,2006,Import,Audio CD,流行,8.4,20407,https://img2.doubanio.com/view/subject/s/public/s2824792.jpg
